Nr.;ID;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;EMail;Deaktiviert;Eintragsdatum;Firma;FahrzeugmodellID;Passwort
1;5187613;;Gismar;Strohmaier;20031912;Elsa-Brändström-Str.;125;85356;Freising;g.strohmaier@wesemann.none;wahr;29061923;;5947;öUäyrÖbiv
2;2191484;;Edwine;Waters;15101914;Dernbacher Straße;98;;72458 Ebingen;e-waters@hewat.none;wahr;2061930;;211;xTjSBmmBÖkrEÄt
3;9947715;;Ernstine;Kammann;26091995;Lutzstraße;143;91601;Dombühl;e.kammann@escher.none;wahr;24082012;;117;RmViMHjFsQßKb x
4;7491984;;Malak;Bernd;15071981;Rader Straße;58;53919;Weilerswist;malak.bernd@popp.none;wahr;29022008;;45;PxhxMkdRC
5;9669359;;Warnfried;Pfeilmacher;1121989;Adenauer Str.;39;24214;Neudorf-Bornstein;warnfriedpfeilmacher@fontaine.none;wahr;20071991;;6;VGÄPZqKkIRr
6;6504920;;Elrike;Plock;7101953;Lange Hecke 23;;66649;Oberthal;elrike_plock@grueblundplock.none;falsch;13111979;Grübl und Plock KGaA;4537;äKZqüMHZü
7;5172679;;Bertha;Dreesen;11091927;Lupinenweg;38;38110;Braunschweig;bertha-dreesen@bullingerunddreesen.none;wahr;9091975;;324;GgnxöGYFieSmUB
8;1545188;Frau;Wilhelmine;Kallicharran;12051973;An der Ziegelhütte;191;;56414 Salz;wilhelminekallicharran@thiemann.none;falsch;26081981;Thiemann KG;2877;uqtUycüqÄozy d
9;7645369;k.A.;Annelotte;Büsch;1101955;Tönisvorster Straße 178;;56729;Baar;annelotte-buesch@ruge.none;wahr;7101980;Ruge UG;3870;RCFHKßTOlÄÜN
10;9005490;;Zoé;Dornier;26081994;Haselnußweg;160;24879;Idstedt;zoe_dornier@stenz.none;wahr;10112016;;5511;cAPbJhäV
11;5105005;;Muthild;Focke;6031978;Karlsgraben;34b;31188;Holle;muthild.focke@defo.none;falsch;17112006;;6154;ÄwauBMOF
12;9164193;;Myriam;Stegner;29061929;Fauleborn;48;25761;Westerdeichstrich;m-stegner@js.none;wahr;28122007;Js OHG;1487;tHeRgnEmAbPHq
13;7358213;Herr;Tiemo;Baumeister;10101920;Im Schlehental;61 a;54552;Schönbach;t-baumeister@iser.none;falsch;7092008;;4048;üIÄbEAuBGÄ
14;2931083;;Hildemar;Valerius;30011921;Elbinger Weg;69;42857;Remscheid;hildemar.valerius@sabel.none;falsch;28051988;Sabel GmbH & Co. KG;3195;bEivYWgJtsQ
15;5391063;Frau;Astrid;Alpers;2071918;Brühlweg;197;91785;Pleinfeld;astrid-alpers@helmke.none;wahr;18111966;;5462;JoYLBiTfznöWü
16;3586438;;Franzi;Fürstenberg;11101962;Im Nassen;164b;94256;Drachselsried;franzi_fuerstenberg@georgi.none;wahr;19031969;;2704;aMFHrZehZFPÜ
17;8002183;;Marlene;Behrens;1111940;Martin-Niemöller-Straße;60 b;91719;Heidenheim;m-behrens@durrellundbehrens.none;wahr;14051947;;1753;xhiWaÄpRQnlDVXö
18;2931159;;Ursel;Lutze;30051917;Kurneystraße;146;74547;Untermünkheim;ursellutze@llu.none;falsch;3071990;Llu OHG;4226;qÖxzÄIYZpäWJ
19;8848694;;Heiko;Kalisch;7081928;Kurpfalzstr.;127;13129;Blankenburg;h_kalisch@kies.none;falsch;7121976;;6138; HjzLyUEösAs
20;5432716;;Mike;Neef;19041968;Azaleenweg;61;39638;Schenkenhorst;m-neef@stiehler.none;falsch;28011995;;6708;VölöReAeZ 
21;3696190;;Lottelore;Stuke;26101904;Gneisenaustraße;166;91080;Spardorf;lottelorestuke@gaber.none;falsch;15011941;Gaber AG;2587;XtpgPmsxüVGq
22;2783491;Frau;Ribana;Jahnke;29051984;Idenbrockplatz174;;72229;Rohrdorf;ribana_jahnke@graej.none;wahr;2032002;;3477;GökÜxrBxBwfö
23;3121753;;Donat;Sprengel;20101949;Braunsberger Strasse;158 c;99427;Weimar;donatsprengel@pflieger.none;falsch;24051963;Pflieger GmbH;144;FmKBxdCw
24;9109869;;Falkhard;Seegers;14091978;Bahnhofstraße;100;23845;Grabau;f_seegers@dangel.none;wahr;10032009;;6244;IHClQnOIGRJÜOÜc
25;8503417;;Kuno;Warning;3081986;Lorcher Straße;75;67278;Bockenheim an der Weinstraße;kuno_warning@kania.none;falsch;24021987;;6615;xLnjUSPäME
26;9388092;;Paul;Sperlich;15061968;Im Scheid;117;;63691 Ranstadt;p.sperlich@hertel.none;falsch;3052010;;6920;ÜFdüuaCÜHÜÜY
27;7138920;;Elias;Plath;16071963;Maischeider Weg;30;79677;Böllen;elias-plath@huettinger.none;falsch;4041997;;3740;RwwLPToÄdYS
28;4867017;;Ulwin;Mall;4081911;Fahrenberg;175;35329;Gemünden;u.mall@vieumal.none;falsch;27011920;;468;mDtzgwWzo
29;3187465;Herr;Arri;Meindl;15021962;Weidenauer Straße;183;96484;Meeder;ameindl@bm.none;wahr;4052022;;5098;AXPÖDhjxrLTüa
30;5047995;;Gerdhild;Adıvar;7071955;Unter der Lay;17;82418;Seehausen am Staffelsee;gerdhild.advar@roland.none;falsch;18121981;;6141;zKmÄMxMEwu
31;5710462;;Joy;Wies;29011923;Bornwiese;22;95188;Issigau;joy_wies@holland.none;wahr;16122021;;6304;CBfYweSÄD
32;3467256;;Gaëtan;Gattermann;9031956;Bergstraße;148;53498;Waldorf;gatan.gattermann@fgat.none;wahr;19072008;;2491;BrCuUkGXwMüji
33;2507988;;Burglind;Limbach;28031978;Hedwigstraße;198;78166;Donaueschingen;b_limbach@buhmannundlimbach.none;wahr;26021990;;450;ccäüeByHNÖBN
34;4052534;;Josephina;Orth;22041925;Zum Wiesental;127;63505;Langenselbold;jorth@kort.none;falsch;11062023;;1302;AÖuHEKvJv
35;4094706;;Yannik;Altun;8041935;Am Alten Posthof;65;73072;Donzdorf;y-altun@hanusch.none;falsch;11031939;;6338;MufuYCößEOxa
36;6695429;;Ortraud;Deiss;21061978;Kreuzgasse;137;38518;Gifhorn;ortraud-deiss@doerflinger.none;falsch;17111984;Dörflinger KG;3339;ZzmLLA byMtni bT
